XCoord,YCoord,JOIN_COUNT,ZIPCODE
-84.34846437,35.50008717,0,37354
-82.4568551,27.95364358,1,33602
-82.46462563,27.98543114,3,33603
-86.08475339,35.50099218,4,37355
-82.45527187,28.01696788,0,33604
-85.82422193,35.22902223,0,37356
-85.91720427,35.58609468,0,37357
-86.41287431,35.2042008,0,37359
-86.25495658,35.44058557,0,37360
-84.68633933,35.09882689,0,37361
-90.34360683,42.9740525,0,53526
-88.66581462,40.2392485,0,61842
-89.19264786,43.06170349,0,53527
-88.38394218,40.31534149,0,61843
-89.63879536,43.11867397,0,53528
-89.51562548,43.24146866,0,53529
-87.87035422,40.13875703,0,61844
-88.39921646,40.37417828,0,61845
-90.10587605,42.69383584,1,53530
-87.61241102,39.97626368,0,61846
-89.10167275,43.06123609,0,53531
-88.01539044,40.31311617,0,61847
-87.70277126,40.30806051,0,61848
-87.96192173,40.01114372,0,61849
-87.73765688,39.93247664,0,61850
